Symbol,Price~,"Exp Date",DTE,Type,Strike,Moneyness,Bid,Ask,Volume,"Open Int","OI Chg",Vol/OI,IV,Delta,Time
UPST,67.09,2025-09-26,6,Put,45.00,-33.72%,0.01,0.1,4119,6360,"+4,715",0.65,147.79%,-0.011655,2025-09-19
AAPL,247.58,2026-03-20,181,Put,220.00,-10.39%,6.6,6.75,2413,12145,"+4,694",0.2,26.75%,-0.226418,2025-09-19
CLSK,13.16,2025-10-17,27,Call,12.00,+11.89%,2.17,2.21,825,20243,"+4,662",0.04,86.19%,0.748939,2025-09-19
WOLF,2.17,2025-10-17,27,Put,2.50,+12.11%,1.7,1.79,1549,31649,"+4,647",0.05,738.03%,-0.171744,2025-09-19
SMR,45.31,2025-10-17,27,Call,50.00,-6.91%,4.5,4.55,10010,7491,"+4,617",1.34,113.71%,0.479673,2025-09-19
GRAB,6.29,2027-12-17,818,Call,7.00,-9.55%,2.05,2.1,852,87045,"+4,600",0.01,56.59%,0.658665,2025-09-19
BEEM,2.64,2026-02-20,153,Call,5.00,-82.48%,0.25,0.3,622,4797,"+4,567",0.13,111.05%,0.325965,2025-09-19
GOOGL,253.37,2025-09-26,6,Call,260.00,-2.07%,1.89,1.95,5033,7715,"+4,561",0.65,30.20%,0.310744,2025-09-19
AMD,157.32,2025-09-26,6,Call,160.00,-1.66%,2.6,2.67,29552,9891,"+4,534",2.99,46.44%,0.407273,2025-09-19
NTLA,15.67,2025-10-17,27,Call,17.50,-12.25%,0.8,0.9,829,5915,"+4,522",0.14,91.41%,0.371554,2025-09-19
OPEN,9.18,2025-09-26,6,Put,10.00,+4.49%,1.07,1.09,16622,9910,"+4,494",1.68,168.48%,-0.537045,2025-09-19
RGTI,26.52,2025-10-17,27,Put,23.00,-19.35%,1.5,1.56,1424,4451,"+4,408",0.32,133.00%,-0.21673,2025-09-19
QCOM,166.1,2025-09-26,6,Call,175.00,-4.88%,0.38,0.43,1243,4991,"+4,387",0.25,31.39%,0.123809,2025-09-19
LAES,4.21,2027-01-15,482,Call,4.00,+6.76%,1.2,1.35,958,7877,"+4,366",0.12,59.05%,0.695988,2025-09-19
OKLO,131.24,2025-09-26,6,Call,110.00,+18.66%,26.6,28.65,5941,5212,"+4,325",1.14,179.18%,0.845405,2025-09-19
INTC,29.51,2025-09-26,6,Put,27.00,-8.72%,0.12,0.13,5827,4417,"+4,277",1.32,60.84%,-0.112313,2025-09-19
CIFR,12.75,2025-12-19,90,Call,21.00,-71.01%,1.13,1.37,1619,19288,"+4,274",0.08,137.35%,0.333176,2025-09-19
CMG,39.15,2026-01-16,118,Call,52.00,-32.25%,0.62,0.7,521,6113,"+4,263",0.09,41.06%,0.152771,2025-09-19
CLSK,13.16,2025-10-03,13,Call,15.00,-10.13%,0.51,0.55,4636,4370,"+4,260",1.06,99.02%,0.339127,2025-09-19
PLTR,180.35,2025-09-26,6,Call,187.50,-2.80%,2.65,2.72,24019,8815,"+4,254",2.72,50.12%,0.349433,2025-09-19
CMG,39.15,2025-10-17,27,Put,37.50,-4.63%,0.59,0.69,1236,25240,"+4,220",0.05,34.43%,-0.280272,2025-09-19
UAMY,6.51,2025-10-17,27,Call,5.00,+22.96%,1.55,1.75,982,16912,"+4,214",0.06,107.26%,0.853381,2025-09-19
WOLF,2.17,2025-10-17,27,Call,3.50,-56.95%,0.15,0.22,4993,28893,"+4,167",0.17,194.49%,0.280373,2025-09-19
MSTR,337,2025-09-26,6,Put,250.00,-27.48%,0.45,0.48,4168,11455,"+4,160",0.36,129.28%,-0.021404,2025-09-19
ACHR,9.79,2025-10-17,27,Call,10.00,-1.42%,0.79,0.8,7636,38094,"+4,142",0.2,79.45%,0.522967,2025-09-19
PLTR,180.35,2025-09-26,6,Put,165.00,-9.53%,0.61,0.64,6184,6584,"+4,127",0.94,60.97%,-0.091881,2025-09-19
OKLO,131.24,2025-09-26,6,Put,98.00,-27.53%,0.93,1.02,4275,4101,"+4,093",1.04,178.00%,-0.063255,2025-09-19
PDD,128.64,2025-09-26,6,Put,125.00,-3.45%,0.58,0.73,1556,6781,"+4,075",0.23,35.65%,-0.210283,2025-09-19
SOFI,29.33,2025-10-17,27,Call,28.00,+5.12%,2.78,2.82,4614,22282,"+4,027",0.21,61.22%,0.662026,2025-09-19
AAPL,247.58,2025-09-26,6,Call,240.00,+2.24%,6.4,6.65,37728,18911,"+4,000",2,23.23%,0.787282,2025-09-19
CCJ,85.81,2025-10-17,27,Call,95.00,-10.23%,1.92,1.99,2982,11276,"+3,997",0.26,52.46%,0.276739,2025-09-19
INTC,29.51,2025-10-03,13,Call,35.00,-18.32%,0.25,0.27,6489,4039,"+3,982",1.61,73.79%,0.128762,2025-09-19
SOFI,29.33,2025-10-17,27,Put,26.00,-11.89%,0.6,0.62,9157,7753,"+3,962",1.18,62.83%,-0.19959,2025-09-19
INTC,29.51,2025-11-21,62,Put,25.00,-15.48%,0.64,0.67,28265,8231,"+3,953",3.43,50.70%,-0.17636,2025-09-19
OWL,18.75,2025-11-21,62,Call,20.00,-5.82%,0.55,0.85,1029,10128,"+3,950",0.1,33.48%,0.362444,2025-09-19
ETNB,14.92,2025-11-21,62,Put,14.00,-5.85%,0.05,0.1,833,3937,"+3,937",0.21,17.54%,-0.169526,2025-09-19
INTC,29.51,2025-10-17,27,Put,30.00,+1.42%,1.86,1.89,5985,4379,"+3,934",1.37,52.40%,-0.50649,2025-09-19
RIVN,14.33,2025-10-17,27,Call,16.00,-11.27%,0.48,0.51,3344,19919,"+3,927",0.17,67.80%,0.319375,2025-09-19
INTC,29.51,2026-03-20,181,Call,32.00,-8.18%,3.4,3.45,627,21571,"+3,921",0.03,51.71%,0.493956,2025-09-19
INTC,29.51,2025-10-17,27,Put,25.00,-15.48%,0.23,0.24,4152,10642,"+3,919",0.39,53.78%,-0.108209,2025-09-19
GOOGL,253.37,2025-09-26,6,Call,255.00,-0.11%,3.8,3.9,10538,7529,"+3,919",1.4,30.36%,0.503217,2025-09-19
SOFI,29.33,2025-09-26,6,Put,26.00,-11.89%,0.1,0.11,3137,8193,"+3,909",0.38,74.11%,-0.082707,2025-09-19
LDI,3.7,2027-01-15,482,Call,5.00,-34.41%,1.55,1.65,3220,4614,"+3,903",0.7,232.24%,0.574315,2025-09-19
HPE,24.86,2025-09-26,6,Call,25.50,-2.04%,0.22,0.25,636,7240,"+3,901",0.09,34.58%,0.335259,2025-09-19
NVDA,175.5,2025-09-26,6,Put,175.00,-0.95%,2.31,2.4,41741,15158,"+3,884",2.75,34.82%,-0.401977,2025-09-19
MSTR,337,2025-09-26,6,Put,340.00,-1.38%,7.15,7.65,10907,5007,"+3,882",2.18,55.14%,-0.40517,2025-09-19
WBD,19.43,2025-12-19,90,Call,22.00,-13.81%,0.99,1.4,4361,9152,"+3,855",0.48,50.45%,0.362598,2025-09-19
WULF,10.81,2026-01-16,118,Call,16.00,-45.72%,0.85,0.89,1261,11065,"+3,851",0.11,100.96%,0.287799,2025-09-19
XYZ,76.51,2025-09-26,6,Call,80.00,-3.86%,0.58,0.65,578,4733,"+3,834",0.12,43.11%,0.259785,2025-09-19
PLUG,2.22,2025-12-19,90,Call,2.50,-14.68%,0.3,0.4,2879,14495,"+3,827",0.2,110.82%,0.517664,2025-09-19
BA,214.9,2025-11-21,62,Call,240.00,-11.29%,4.3,4.4,2574,7320,"+3,819",0.35,34.96%,0.251433,2025-09-19
GRAB,6.29,2028-01-21,853,Call,7.00,-9.55%,2,2.3,656,5379,"+3,818",0.12,58.31%,0.668361,2025-09-19
PLTR,180.35,2025-09-26,6,Call,185.00,-1.43%,3.55,3.6,42802,8447,"+3,759",5.07,50.00%,0.429162,2025-09-19
JD,34.82,2025-12-19,90,Call,40.00,-13.96%,2.05,2.1,6658,33531,"+3,751",0.2,57.82%,0.352699,2025-09-19
MARA,17.67,2025-10-17,27,Call,17.00,+7.05%,2.15,2.2,5481,86917,"+3,747",0.06,73.19%,0.685493,2025-09-19
BIDU,139.24,2025-10-03,13,Call,150.00,-10.82%,1.93,2.09,682,3929,"+3,743",0.17,64.80%,0.221608,2025-09-19
INTC,29.51,2026-06-18,271,Call,50.00,-69.03%,1.16,1.2,970,57216,"+3,727",0.02,53.77%,0.190516,2025-09-19
QTWO,78.63,2025-10-17,27,Call,90.00,-15.12%,0.5,1.05,616,3718,"+3,706",0.17,41.51%,0.122553,2025-09-19
WOLF,2.17,2025-10-17,27,Put,3.00,+34.53%,2.19,2.24,3267,12248,"+3,705",0.27,767.38%,-0.183579,2025-09-19
NVO,60.28,2025-09-26,6,Call,62.00,-0.98%,1.08,1.2,1035,4302,"+3,681",0.24,44.78%,0.445766,2025-09-19
HIMS,57.14,2025-10-17,27,Put,50.00,-13.52%,1.77,1.85,4579,8640,"+3,641",0.53,82.01%,-0.218993,2025-09-19
SNAP,8.81,2025-11-21,62,Call,13.00,-59.31%,0.14,0.19,1037,8478,"+3,624",0.12,87.91%,0.139037,2025-09-19
NNOX,4.09,2026-02-20,153,Call,5.00,-25.94%,0.45,0.55,1267,3911,"+3,602",0.32,79.11%,0.435924,2025-09-19
NVDA,175.5,2025-09-26,6,Call,192.50,-8.96%,0.09,0.1,8925,10147,"+3,594",0.88,35.48%,0.032291,2025-09-19
BMNR,58.64,2025-10-17,27,Put,55.00,-10.26%,4.9,5.2,1946,4975,"+3,593",0.39,125.43%,-0.310002,2025-09-19
AMZN,230.9,2025-09-26,6,Call,240.00,-3.68%,0.67,0.71,30264,21632,"+3,593",1.4,27.83%,0.164734,2025-09-19
MRVL,73.23,2025-09-26,6,Call,80.00,-7.73%,0.7,0.77,2255,4086,"+3,523",0.55,67.53%,0.209188,2025-09-19
SOFI,29.33,2025-09-26,6,Call,31.00,-5.05%,0.39,0.41,6509,4960,"+3,518",1.31,62.14%,0.284482,2025-09-19
NKE,70.85,2025-09-26,6,Call,75.00,-5.80%,0.18,0.22,1721,4621,"+3,512",0.37,36.91%,0.122943,2025-09-19
MU,162.62,2025-10-17,27,Call,185.00,-13.69%,4.2,4.3,2921,6360,"+3,505",0.46,64.99%,0.267414,2025-09-19
BITF,3.1,2025-09-26,6,Call,4.00,-28.21%,0.11,0.13,2969,7639,"+3,495",0.39,225.34%,0.237871,2025-09-19
INTC,29.51,2025-11-21,62,Call,35.00,-18.32%,1.18,1.22,6470,6430,"+3,494",1.01,60.04%,0.29409,2025-09-19
MSTR,337,2025-10-03,13,Call,450.00,-30.53%,0.5,0.67,4387,3864,"+3,493",1.14,73.12%,0.032121,2025-09-19
INTC,29.51,2025-10-03,13,Put,25.50,-13.79%,0.09,0.1,3049,5006,"+3,491",0.61,55.56%,-0.069899,2025-09-19
BABA,163.95,2025-10-17,27,Call,200.00,-22.84%,1,1.11,9139,11601,"+3,490",0.79,54.30%,0.095056,2025-09-19
TSLA,431.4,2025-09-26,6,Call,425.00,+0.25%,12.25,12.35,33439,7504,"+3,485",4.46,53.33%,0.53243,2025-09-19
MSFT,515.1,2025-09-26,6,Call,530.00,-2.33%,1.35,1.41,14371,7364,"+3,485",1.95,19.82%,0.192144,2025-09-19
MU,162.62,2025-09-26,6,Put,162.50,-0.14%,8.15,8.3,2222,3564,"+3,477",0.62,101.24%,-0.468137,2025-09-19
GOOGL,253.37,2025-10-03,13,Call,260.00,-2.07%,3.5,3.6,5106,4701,"+3,451",1.09,29.29%,0.375276,2025-09-19
SMCI,45.41,2025-09-26,6,Call,50.00,-9.15%,0.31,0.32,28420,10986,"+3,443",2.59,65.25%,0.15962,2025-09-19
BMNR,58.64,2025-10-17,27,Call,70.00,-14.21%,5.35,5.7,4279,10453,"+3,417",0.41,126.99%,0.419627,2025-09-19
AMZN,230.9,2025-09-26,6,Put,225.00,-2.80%,0.97,1.05,4772,9598,"+3,412",0.5,28.37%,-0.207173,2025-09-19
AMZN,230.9,2025-09-26,6,Call,230.00,+0.64%,4.1,4.25,4225,9318,"+3,410",0.45,28.09%,0.585472,2025-09-19
INTC,29.51,2025-09-26,6,Call,34.00,-14.94%,0.17,0.2,2181,3655,"+3,408",0.6,85.54%,0.112909,2025-09-19
NVTS,6.93,2025-10-17,27,Call,8.00,-14.12%,0.45,0.5,2988,7981,"+3,392",0.37,111.45%,0.392143,2025-09-19
NVDA,175.5,2025-09-26,6,Put,165.00,-6.61%,0.49,0.51,19358,26203,"+3,391",0.74,43.63%,-0.103613,2025-09-19
QS,13.05,2025-10-17,27,Call,12.00,+10.58%,2.4,2.46,6342,8375,"+3,390",0.76,116.52%,0.699001,2025-09-19
BITF,3.1,2025-10-03,13,Call,4.00,-28.21%,0.22,0.24,2661,4106,"+3,389",0.65,212.40%,0.338831,2025-09-19
PLTR,180.35,2025-10-03,13,Put,110.00,-39.69%,0.07,0.11,2470,3726,"+3,347",0.66,116.30%,-0.007763,2025-09-19
COIN,333.64,2025-09-26,6,Call,365.00,-6.58%,3.3,3.75,1579,4410,"+3,338",0.36,63.75%,0.232557,2025-09-19
WBD,19.43,2025-09-26,6,Put,18.00,-6.88%,0.32,0.33,16067,4106,"+3,331",3.91,87.56%,-0.242971,2025-09-19
TTD,43.86,2026-09-18,363,Call,130.00,-192.33%,0.93,1.32,571,4568,"+3,326",0.13,63.95%,0.096158,2025-09-19
AMD,157.32,2025-10-17,27,Put,150.00,-4.70%,4,4.05,4383,20662,"+3,312",0.21,43.56%,-0.312825,2025-09-19
CLSK,13.16,2025-10-17,27,Call,18.00,-32.16%,0.43,0.45,10079,4683,"+3,307",2.15,109.22%,0.217851,2025-09-19
SOUN,16,2026-01-16,118,Call,16.00,+1.54%,3.6,3.7,1643,8360,"+3,301",0.2,95.17%,0.626779,2025-09-19
COIN,333.64,2025-09-26,6,Put,315.00,-8.02%,1.87,2.06,584,4068,"+3,300",0.14,61.40%,-0.133619,2025-09-19
INTC,29.51,2025-10-03,13,Put,30.00,+1.42%,1.42,1.45,7364,3314,"+3,296",2.22,54.57%,-0.531061,2025-09-19
KEY,19.11,2026-01-16,118,Call,21.00,-10.06%,0.42,0.49,4002,5437,"+3,260",0.74,26.76%,0.285424,2025-09-19
HOOD,123.55,2025-09-26,6,Put,110.00,-11.84%,0.34,0.38,11443,8348,"+3,255",1.37,69.31%,-0.0707,2025-09-19
OPEN,9.18,2025-09-26,6,Call,10.00,-4.49%,0.62,0.63,55260,22928,"+3,242",2.41,165.09%,0.460767,2025-09-19
GOSS,3.02,2028-01-21,853,Call,2.00,+34.43%,1.9,2.25,500,3264,"+3,238",0.15,97.99%,0.861144,2025-09-19
AMD,157.32,2025-09-26,6,Put,150.00,-4.70%,1.07,1.09,6282,8484,"+3,229",0.74,46.56%,-0.198708,2025-09-19
OPEN,9.18,2025-09-26,6,Call,8.50,+11.18%,1.34,1.37,2738,5448,"+3,214",0.5,153.08%,0.759894,2025-09-19
LYFT,22.46,2025-09-26,6,Put,21.00,-7.00%,0.13,0.16,1241,3728,"+3,206",0.33,58.16%,-0.15415,2025-09-19
NVTS,6.93,2025-10-17,27,Call,10.00,-42.65%,0.2,0.25,5787,30901,"+3,198",0.19,121.28%,0.1834,2025-09-19
WULF,10.81,2025-10-03,13,Call,12.00,-9.29%,0.37,0.4,2888,9452,"+3,155",0.31,98.00%,0.330225,2025-09-19
RDDT,257.61,2025-09-26,6,Put,260.00,-1.69%,6.7,7.7,944,3535,"+3,151",0.27,68.38%,-0.40304,2025-09-19
NVDA,175.5,2025-10-17,27,Put,180.00,+1.88%,8,8.1,1940,25820,"+3,132",0.08,33.53%,-0.554065,2025-09-19
FUN,22.32,2025-10-17,27,Call,25.00,-12.01%,0.5,0.75,3370,3383,"+3,129",1,60.03%,0.267884,2025-09-19
JD,34.82,2027-01-15,482,Call,70.00,-99.43%,1.63,1.81,22400,36926,"+3,128",0.61,56.88%,0.175675,2025-09-19
INTC,29.51,2025-10-17,27,Call,32.00,-8.18%,0.95,0.98,5363,6713,"+3,100",0.8,57.42%,0.339378,2025-09-19
MRVL,73.23,2025-10-17,27,Call,85.00,-14.46%,1.21,1.26,2007,8401,"+3,098",0.24,54.71%,0.207912,2025-09-19
BAC,51.87,2025-12-19,90,Call,52.50,-0.48%,2.55,2.63,1098,11294,"+3,073",0.1,25.38%,0.522248,2025-09-19
HOOD,123.55,2025-09-26,6,Call,130.00,-4.18%,1.72,1.8,7222,7987,"+3,069",0.9,58.12%,0.307382,2025-09-19
NVDA,175.5,2025-09-26,6,Put,167.50,-5.19%,0.69,0.71,11519,8769,"+3,064",1.31,40.50%,-0.143451,2025-09-19
AAL,12.41,2025-11-21,62,Call,14.00,-12.45%,0.48,0.5,3202,135419,"+3,056",0.02,50.30%,0.323253,2025-09-19
MSTR,337,2025-09-26,6,Call,360.00,-4.42%,4.25,4.5,62239,4846,"+3,051",12.84,56.25%,0.28967,2025-09-19
CLSK,13.16,2025-10-17,27,Call,14.00,-2.79%,1.18,1.23,2544,4725,"+3,044",0.54,91.90%,0.511036,2025-09-19
RDDT,257.61,2025-09-26,6,Call,290.00,-9.65%,2.17,2.83,3759,3781,"+3,042",0.99,75.74%,0.185976,2025-09-19
MSTR,337,2025-09-26,6,Put,320.00,-7.18%,1.96,2.7,3326,4120,"+3,021",0.81,61.20%,-0.159402,2025-09-19
AMAT,193.07,2025-09-26,6,Call,205.00,-7.84%,0.42,0.52,2945,3039,"+3,021",0.97,43.82%,0.095881,2025-09-19
WULF,10.81,2025-10-03,13,Call,14.00,-27.50%,0,0.11,2039,7563,"+3,010",0.27,112.36%,0.138601,2025-09-19
OPAD,4.99,2026-01-16,118,Call,5.00,+1.77%,1.85,2.2,7713,6888,"+2,999",1.12,176.11%,0.702468,2025-09-19
WBD,19.43,2025-10-17,27,Put,16.00,-17.23%,0.32,0.39,1365,20534,"+2,998",0.07,75.63%,-0.1501,2025-09-19
AAPL,247.58,2025-09-26,6,Call,247.50,-0.81%,2.06,2.1,41583,7806,"+2,988",5.33,22.91%,0.405262,2025-09-19
HIMS,57.14,2025-10-03,13,Put,36.00,-37.74%,0.01,0.11,2382,3125,"+2,987",0.76,129.68%,-0.0195,2025-09-19
AMD,157.32,2025-12-19,90,Call,180.00,-14.37%,7.65,7.8,3926,15989,"+2,978",0.25,48.50%,0.346154,2025-09-19
GOOGL,253.37,2025-10-10,20,Put,215.00,-15.59%,0.33,0.38,3306,3178,"+2,976",1.04,41.22%,-0.0339,2025-09-19
UEC,12.36,2025-10-17,27,Put,9.00,-27.13%,0.1,0.2,2001,4672,"+2,970",0.43,96.71%,-0.089202,2025-09-19
USAR,16.11,2025-09-26,6,Call,17.00,-4.62%,0.6,0.7,3914,3230,"+2,942",1.21,118.51%,0.414355,2025-09-19
BABA,163.95,2025-09-26,6,Call,175.00,-7.49%,1,1.19,6143,6561,"+2,941",0.94,58.13%,0.176835,2025-09-19
MSTR,337,2025-09-26,6,Put,220.00,-36.19%,0.24,0.28,1952,5682,"+2,930",0.34,158.31%,-0.010235,2025-09-19
META,778.99,2025-10-17,27,Call,800.00,-2.78%,15,15.4,1863,11193,"+2,926",0.17,27.54%,0.386471,2025-09-19
HOOD,123.55,2025-09-26,6,Put,116.00,-7.04%,0.88,0.95,1785,3411,"+2,925",0.52,62.13%,-0.167555,2025-09-19
DLO,15.04,2025-10-17,27,Call,15.47,-3.20%,0.7,0.75,2959,15852,"+2,908",0.19,57.63%,0.459258,2025-09-19
CMG,39.15,2026-03-20,181,Call,50.00,-27.16%,1.46,1.52,639,9757,"+2,904",0.07,39.49%,0.255538,2025-09-19
AAPL,247.58,2025-09-26,6,Put,235.00,-4.28%,0.34,0.35,10695,6340,"+2,900",1.69,26.15%,-0.090408,2025-09-19
KVUE,17.58,2025-11-21,62,Call,19.00,-3.60%,1.15,1.2,21804,36484,"+2,889",0.6,47.84%,0.464483,2025-09-19
USAR,16.11,2025-09-26,6,Put,14.00,-13.85%,0.2,0.3,2318,4246,"+2,882",0.55,123.49%,-0.152765,2025-09-19
HOOD,123.55,2025-09-26,6,Call,140.00,-12.20%,0.38,0.42,9713,4164,"+2,874",2.33,64.67%,0.090424,2025-09-19
HOOD,123.55,2025-09-26,6,Call,145.00,-16.20%,0.2,0.24,1361,5869,"+2,855",0.23,69.41%,0.051026,2025-09-19
AAPL,247.58,2025-09-26,6,Call,245.00,+0.20%,3.15,3.2,125200,15333,"+2,837",8.17,22.60%,0.542573,2025-09-19
AGNC,9.99,2028-01-21,853,Call,12.00,-20.36%,0.32,0.38,523,2960,"+2,832",0.18,17.88%,0.24462,2025-09-19
INTC,29.51,2026-01-16,118,Call,33.00,-11.56%,2.3,2.35,3961,20671,"+2,828",0.19,52.94%,0.423261,2025-09-19
OPEN,9.18,2025-09-26,6,Call,12.00,-25.39%,0.26,0.28,15778,15171,"+2,825",1.04,198.67%,0.224141,2025-09-19
OPEN,9.18,2025-09-26,6,Call,15.00,-56.74%,0.11,0.12,5800,7243,"+2,803",0.8,241.07%,0.097268,2025-09-19
GLXY,31.36,2025-11-21,62,Call,45.00,-36.90%,1.6,1.75,792,2803,"+2,803",0.28,90.89%,0.26361,2025-09-19
INTC,29.51,2025-10-17,27,Put,28.00,-5.34%,0.86,0.89,7160,4156,"+2,801",1.72,49.76%,-0.31329,2025-09-19
GRAB,6.29,2026-01-16,118,Call,7.50,-17.37%,0.45,0.5,6587,104279,"+2,790",0.06,58.41%,0.390912,2025-09-19
WBD,19.43,2025-09-26,6,Call,20.00,-3.47%,0.48,0.55,11801,12991,"+2,789",0.91,83.33%,0.397854,2025-09-19
ETHZ,2.79,2025-10-17,27,Call,3.00,-18.58%,0.15,0.2,606,21332,"+2,782",0.03,120.78%,0.365114,2025-09-19
HIMS,57.14,2025-09-26,6,Call,60.00,-3.77%,1.6,1.7,7339,6174,"+2,777",1.19,83.92%,0.388348,2025-09-19
TGT,88.13,2025-09-26,6,Call,92.00,-4.39%,0.3,0.34,3442,3324,"+2,774",1.04,33.85%,0.16567,2025-09-19
GRAB,6.29,2027-01-15,482,Call,7.50,-17.37%,1.35,1.4,3130,151425,"+2,767",0.02,57.60%,0.564029,2025-09-19
JD,34.82,2027-01-15,482,Call,60.00,-70.94%,2.24,2.58,1068,8272,"+2,758",0.13,56.66%,0.240552,2025-09-19
NVDA,175.5,2025-09-26,6,Put,172.50,-2.36%,1.53,1.59,19100,7884,"+2,756",2.42,36.30%,-0.291259,2025-09-19
MSTR,337,2025-09-26,6,Call,385.00,-11.68%,1.1,1.2,18323,3206,"+2,739",5.72,62.57%,0.092175,2025-09-19
MRVL,73.23,2025-09-26,6,Call,75.00,-1.00%,2.1,2.2,2967,5728,"+2,730",0.52,65.02%,0.472313,2025-09-19
AAPL,247.58,2025-09-26,6,Call,250.00,-1.83%,1.25,1.31,94332,16010,"+2,715",5.89,23.44%,0.284953,2025-09-19
RGTI,26.52,2025-09-26,6,Call,33.00,-15.71%,0.86,0.99,1265,2719,"+2,714",0.47,160.46%,0.27326,2025-09-19
PYPL,67.88,2025-09-26,6,Call,73.00,-7.01%,0.13,0.15,1481,3448,"+2,684",0.43,38.49%,0.091231,2025-09-19
NVTS,6.93,2025-10-17,27,Call,7.00,+0.14%,0.75,0.8,3986,10070,"+2,678",0.4,98.30%,0.560009,2025-09-19
PLUG,2.22,2026-01-16,118,Call,3.00,-37.61%,0.3,0.32,5282,22021,"+2,665",0.24,107.61%,0.42283,2025-09-19
HAL,22.35,2025-11-21,62,Put,20.00,-11.15%,0.47,0.51,503,4634,"+2,647",0.11,40.65%,-0.210871,2025-09-19
HOOD,123.55,2025-09-26,6,Call,128.00,-2.58%,2.35,2.44,6938,3256,"+2,642",2.13,58.19%,0.384101,2025-09-19
CLSK,13.16,2025-10-17,27,Call,13.00,+4.55%,1.6,1.64,1602,7938,"+2,641",0.2,89.16%,0.62802,2025-09-19
CHRW,136.07,2026-01-16,118,Call,150.00,-10.24%,1.7,3.7,781,2716,"+2,641",0.29,25.76%,0.291845,2025-09-19
INTC,29.51,2026-01-16,118,Call,32.00,-8.18%,2.6,2.65,857,7207,"+2,626",0.12,52.24%,0.461403,2025-09-19
AAPL,247.58,2025-10-03,13,Call,260.00,-5.91%,0.5,0.52,20538,11359,"+2,623",1.81,23.00%,0.102368,2025-09-19
BBAI,6.82,2025-09-26,6,Call,7.00,-2.19%,0.35,0.4,16778,8921,"+2,612",1.88,132.61%,0.484752,2025-09-19
CMG,39.15,2026-03-20,181,Put,35.00,-10.99%,2.03,2.22,1017,6109,"+2,611",0.17,40.11%,-0.272111,2025-09-19
NVDA,175.5,2025-10-03,13,Call,200.00,-13.21%,0.16,0.18,3835,11432,"+2,610",0.34,35.97%,0.038315,2025-09-19
OKLO,131.24,2025-09-26,6,Call,140.00,-3.53%,9.05,9.5,6069,2717,"+2,591",2.23,166.43%,0.479083,2025-09-19
MRNA,25.03,2025-10-17,27,Put,21.00,-16.80%,0.43,0.47,2076,7876,"+2,584",0.26,74.64%,-0.153475,2025-09-19
SNAP,8.81,2025-10-17,27,Call,9.00,-10.29%,0.24,0.25,19590,45197,"+2,575",0.43,59.68%,0.307537,2025-09-19
AMPX,11.45,2027-01-15,482,Call,12.00,-1.95%,4.5,4.9,1262,11259,"+2,561",0.11,88.94%,0.704997,2025-09-19
AMD,157.32,2025-09-26,6,Call,162.50,-3.25%,1.78,1.85,13979,7969,"+2,560",1.75,46.71%,0.311436,2025-09-19
TSLA,431.4,2025-09-26,6,Call,422.50,+0.84%,13.5,13.65,8820,5186,"+2,557",1.7,53.45%,0.566496,2025-09-19
INOD,69,2025-11-21,62,Put,45.00,-36.23%,1.9,2.7,2795,4022,"+2,550",0.69,117.85%,-0.118542,2025-09-19
MSFT,515.1,2025-09-26,6,Call,520.00,-0.40%,4.35,4.55,17246,6862,"+2,547",2.51,19.90%,0.452278,2025-09-19
AAL,12.41,2025-11-21,62,Put,11.00,-11.65%,0.38,0.4,1141,27342,"+2,547",0.04,48.87%,-0.233764,2025-09-19
AVGO,342.49,2025-09-26,6,Call,380.00,-10.16%,0.32,0.39,2463,3950,"+2,540",0.62,43.56%,0.045077,2025-09-19
QBTS,24.9,2025-09-26,6,Put,24.00,-10.71%,0.66,0.73,3454,2627,"+2,536",1.31,133.86%,-0.226663,2025-09-19
CDLX,2.39,2025-10-17,27,Call,3.00,-23.46%,0.4,0.5,3408,2802,"+2,524",1.22,241.30%,0.504733,2025-09-19
FTNT,83.98,2025-09-26,6,Call,85.00,-0.94%,0.99,1.04,3423,2731,"+2,518",1.25,31.29%,0.422711,2025-09-19
NTLA,15.67,2025-10-17,27,Call,15.00,+3.78%,1.75,1.9,678,6687,"+2,516",0.1,94.44%,0.614519,2025-09-19
WOLF,2.17,2025-10-03,13,Put,1.50,-32.74%,0.47,0.49,13238,44508,"+2,508",0.3,603.43%,-0.179121,2025-09-19
WBD,19.43,2025-10-17,27,Call,23.00,-18.99%,0.29,0.41,12812,3624,"+2,505",3.54,65.67%,0.193208,2025-09-19
GRAB,6.29,2025-11-21,62,Call,7.00,-9.55%,0.4,0.45,1685,2503,"+2,503",0.67,61.60%,0.419125,2025-09-19
INTC,29.51,2025-10-17,27,Call,34.00,-14.94%,0.62,0.65,1612,4478,"+2,497",0.36,62.64%,0.23523,2025-09-19
QS,13.05,2026-05-15,237,Call,12.00,+10.58%,4.7,4.8,516,2493,"+2,493",0.21,97.50%,0.714533,2025-09-19
QS,13.05,2025-10-17,27,Call,13.00,+3.13%,1.93,1.96,6002,3390,"+2,480",1.77,120.70%,0.606715,2025-09-19
C,102,2025-10-17,27,Call,105.00,-2.26%,2.58,2.78,2887,13011,"+2,472",0.22,32.48%,0.423177,2025-09-19
RIOT,17.05,2025-10-17,27,Call,20.00,-14.55%,0.76,0.79,781,9367,"+2,466",0.08,86.38%,0.32739,2025-09-19
